1	1
2	1
3	2
4	1
5	2
8	1
10	1
13	1
15	4
16	3
17	1
20	1
21	1
24	3
28	1
29	1
30	1
31	2
32	2
33	1
34	1
37	1
38	1
39	2
40	1
43	1
44	3
45	1
47	1
50	1
51	1
53	2
54	1
57	1
62	2
68	2
69	1
71	3
72	4
77	1
78	1
80	1
81	3
82	3
83	2
84	1
86	1
88	1
90	2
94	1
95	1
97	1
98	1
99	2
100	1
101	2
103	1
105	2
106	2
109	1
110	1
113	1
114	3
115	1
116	1
118	1
119	3
120	1
121	1
122	2
123	2
124	1
125	1
127	1
129	1
131	1
132	1
133	1
134	2
136	1
138	1
139	2
141	1
143	2
144	2
145	2
146	1
147	1
150	1
151	2
152	1
153	2
154	1
155	1
156	4
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	2
166	5
168	1
169	1
170	3
171	1
172	1
174	2
175	2
179	1
180	2
181	4
182	1
184	1
185	2
186	1
187	2
188	1
190	2
191	2
194	1
195	1
198	2
199	1
201	1
202	2
204	1
206	3
208	3
210	1
211	1
212	3
217	2
218	2
220	2
222	1
223	1
224	3
225	1
226	2
228	2
229	1
230	1
231	2
235	2
236	2
237	1
238	1
239	1
240	4
244	1
245	1
248	1
249	1
251	3
252	2
253	3
255	1
256	1
257	1
258	1
260	1
262	1
263	2
264	1
265	2
266	1
267	1
268	1
269	1
271	1
272	3
274	3
278	1
279	1
280	3
281	2
283	4
284	1
285	3
286	1
288	1
289	2
290	1
291	2
292	1
294	2
296	1
297	1
301	1
303	1
305	2
306	2
308	1
310	2
314	1
315	2
316	1
318	2
320	3
322	1
325	1
327	2
328	2
331	2
332	1
336	2
338	2
342	1
344	1
346	2
347	1
348	1
349	1
350	4
351	1
352	1
353	1
356	1
357	3
358	2
361	2
362	1
365	1
367	2
370	1
373	1
374	1
376	1
379	2
381	1
382	1
383	1
384	2
385	1
388	1
389	1
393	2
395	1
397	1
400	2
403	1
405	1
408	1
410	1
411	1
412	1
413	2
414	2
415	1
418	2
420	1
421	1
424	2
425	3
426	1
429	1
430	3
431	1
435	3
437	1
439	3
440	1
442	1
443	1
444	1
445	1
447	1
448	1
449	1
450	1
451	2
452	1
454	1
455	2
456	1
458	1
460	1
463	1
464	1
465	1
466	1
469	1
470	1
471	2
472	1
473	3
474	2
475	1
478	2
481	2
482	1
483	1
485	1
486	3
487	1
488	2
492	2
493	1
496	2
498	1
499	2
500	4
501	3
504	1
506	1
507	1
509	3
510	2
511	1
512	1
514	1
515	1
516	1
517	1
518	2
520	1
521	3
524	1
525	2
526	1
528	1
529	1
532	3
534	1
536	1
537	2
538	2
539	2
540	1
543	3
545	2
546	2
548	2
549	1
550	1
551	1
556	3
558	1
560	1
562	1
563	3
566	1
567	1
568	2
569	4
570	1
571	3
572	1
573	1
574	1
575	5
577	1
579	1
580	1
581	1
582	1
583	2
584	1
588	1
589	1
590	1
591	2
592	1
593	2
595	2
596	1
597	2
598	1
599	1
600	1
602	1
604	1
605	2
606	2
607	3
608	1
611	4
613	3
614	2
615	1
616	3
617	2
618	2
619	2
622	5
625	1
626	2
629	1
632	1
634	2
635	1
637	2
638	1
639	1
640	2
641	2
643	2
645	2
646	1
648	3
649	2
650	1
651	1
652	3
655	2
657	1
658	2
661	1
662	2
664	3
667	1
670	1
671	1
673	2
674	1
675	2
676	1
677	1
678	1
679	2
680	2
681	1
683	2
684	4
685	2
687	2
688	4
689	1
691	3
694	1
695	1
697	1
698	3
699	3
703	2
704	1
705	1
707	1
708	1
710	3
712	3
713	1
714	2
715	2
718	1
719	1
720	2
721	1
722	1
723	1
724	1
725	1
727	1
728	2
729	1
730	3
733	1
735	3
736	1
737	2
738	1
739	1
740	1
741	1
742	1
743	1
745	1
746	1
749	1
751	1
753	1
755	2
756	1
757	3
762	1
763	1
765	1
766	4
767	2
769	1
770	1
772	2
775	2
776	1
778	3
779	1
781	3
782	4
783	2
784	4
785	1
787	2
791	1
792	1
794	4
797	1
798	1
802	1
803	1
804	3
805	3
806	1
807	2
808	4
809	2
812	2
813	1
814	1
815	1
816	1
817	1
820	1
825	2
827	2
828	1
829	2
832	1
833	2
834	2
835	1
837	1
838	2
840	1
841	1
842	1
844	2
847	2
848	1
850	2
852	2
854	1
856	1
859	1
862	2
864	1
865	1
866	2
867	1
868	1
869	1
870	2
871	1
872	1
873	2
878	2
881	3
884	2
885	2
886	4
887	1
889	1
893	1
896	3
898	4
899	1
905	1
906	1
908	1
910	1
911	3
912	1
913	1
914	1
916	1
918	2
919	1
920	1
921	1
922	1
923	1
926	3
927	1
928	2
930	1
931	1
932	1
933	2
934	1
936	1
937	1
942	1
943	1
945	4
946	1
948	2
950	3
951	2
952	1
957	3
959	1
962	1
965	1
966	2
967	1
970	1
971	1
973	5
975	2
976	2
